"meth_diff"	"meth_sd"	"n"	"case_prop"	"power"	"avg_or_persd"	"min_or_persd"	"max_or_persd"	"K"
0.04	0.2	3000	0.33	0.3994	1.220272060695	1.06521649263128	1.38798412660323	"0.33"
0.04	0.2	3500	0.12	0.06	1.22085350152815	1.02949801139877	1.45862719700713	"0.12"
0.04	0.2	3500	0.33	0.5806	1.22175484441777	1.06755487627387	1.38999688559824	"0.33"
0.04	0.2	4000	0.12	0.1	1.22037144860859	1.00071813989851	1.44738200561977	"0.12"
0.04	0.2	4000	0.33	0.73	1.22261855558727	1.09803376390557	1.3924048817429	"0.33"
0.04	0.2	4500	0.12	0.1662	1.22274646792519	0.998461743981608	1.43559580922653	"0.12"
0.04	0.2	4500	0.33	0.8184	1.21978603795493	1.08837872440398	1.38444735722962	"0.33"
0.04	0.2	5000	0.12	0.2268	1.22248284133005	1.01908446252295	1.45319255018875	"0.12"
0.04	0.2	5000	0.33	0.8996	1.22171625329127	1.09497324851937	1.35976403109671	"0.33"
0.04	0.2	5500	0.12	0.2906	1.22085125768511	1.02531459714907	1.42471361220794	"0.12"
0.04	0.2	5500	0.33	0.9484	1.22033013854717	1.10410888640142	1.36975747985143	"0.33"
0.04	0.2	6000	0.12	0.3852	1.22317829220346	1.06000247274411	1.41582074815874	"0.12"
0.04	0.2	6000	0.33	0.974	1.22098092707526	1.08934906438865	1.34217412400926	"0.33"
0.05	0.05	3000	0.12	1	2.71920549301058	2.1397463466538	3.48080460485063	"0.12"
0.05	0.05	3000	0.33	1	2.72326621920728	2.33510678378178	3.20045422848757	"0.33"
0.05	0.05	3500	0.12	1	2.71949249726485	2.18381719656552	3.48603597343085	"0.12"
0.05	0.05	3500	0.33	1	2.71865275433042	2.33206201179356	3.18883397823687	"0.33"
0.05	0.05	4000	0.12	1	2.7201637446404	2.17043656654117	3.2847655908454	"0.12"
0.05	0.05	4000	0.33	1	2.71966760343781	2.24103154290735	3.20960731652556	"0.33"
0.05	0.05	4500	0.12	1	2.71931307685782	2.21429685621101	3.28244001079303	"0.12"
0.05	0.05	4500	0.33	1	2.72370361889176	2.42870777204626	3.18798673358667	"0.33"
